Producto,Unidad,Precio Productores,Existencia Inicial,Categoría,Productor,Ubicación,Precio Ciudad Silvestre,Margen
Acelga arcoiris,Manojo,$11.50,40,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Aguacate,Kilo (min 1/2k) ,$69.00,30,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Algafita,Manojo,$11.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Árnica,Manojo,$11.50,6,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel amarillo (500g),Manojo,$11.50,40,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel rojo (500g),Manojo,$11.50,80,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Cebollitas,Manojo,$11.50,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Chícharo,Kilo (min 1/2k) ,$34.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$49.00,0.7
Cilantro,Manojo,$11.50,25,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Col morada,Pieza,$13.80,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Col verde,Pieza,$13.80,80,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Colinabo,Pieza,$11.50,25,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
